predicted,actual,cancer_type
283.044983,400.483185,LU_S_LU_S25T
282.537018,400.483185,LU_S_LU_S25T
319.453003,400.483185,LU_S_LU_S25T
255.589325,400.483185,LU_S_LU_S25T
248.637985,400.483185,LU_S_LU_S25T
390.987976,400.483185,LU_S_LU_S25T
469.537994,400.483185,LU_S_LU_S25T
420.034027,400.483185,LU_S_LU_S25T
356.497986,400.483185,LU_S_LU_S25T
296.895996,400.483185,LU_S_LU_S25T
253.029999,400.483185,LU_S_LU_S25T
380.955994,400.483185,LU_S_LU_S25T
486.324036,400.483185,LU_S_LU_S25T
423.575989,400.483185,LU_S_LU_S25T
387.776001,400.483185,LU_S_LU_S25T
529.797974,400.483185,LU_S_LU_S25T
536.388000,400.483185,LU_S_LU_S25T
528.356018,400.483185,LU_S_LU_S25T
358.399963,400.483185,LU_S_LU_S25T
388.856995,400.483185,LU_S_LU_S25T
297.618988,400.483185,LU_S_LU_S25T
476.228027,400.483185,LU_S_LU_S25T
487.440002,400.483185,LU_S_LU_S25T
383.446991,400.483185,LU_S_LU_S25T
524.027039,400.483185,LU_S_LU_S25T
279.718018,400.483185,LU_S_LU_S25T
429.639496,400.483185,LU_S_LU_S25T
243.817505,400.483185,LU_S_LU_S25T
370.791992,400.483185,LU_S_LU_S25T
513.109009,400.483185,LU_S_LU_S25T
410.462006,400.483185,LU_S_LU_S25T
387.173676,400.483185,LU_S_LU_S25T
443.441986,400.483185,LU_S_LU_S25T
416.756012,400.483185,LU_S_LU_S25T
